"Original" "Revised"
"1" "Subject" "Subject"
"2" "tBodyAcc-mean()-X" "TimeDomain-BodyAcceleration-Mean-X"
"3" "tBodyAcc-mean()-Y" "TimeDomain-BodyAcceleration-Mean-Y"
"4" "tBodyAcc-mean()-Z" "TimeDomain-BodyAcceleration-Mean-Z"
"5" "tGravityAcc-mean()-X" "TimeDomain-GravityAcceleration-Mean-X"
"6" "tGravityAcc-mean()-Y" "TimeDomain-GravityAcceleration-Mean-Y"
"7" "tGravityAcc-mean()-Z" "TimeDomain-GravityAcceleration-Mean-Z"
"8" "tBodyAccJerk-mean()-X" "TimeDomain-BodyAccelerationJerk-Mean-X"
"9" "tBodyAccJerk-mean()-Y" "TimeDomain-BodyAccelerationJerk-Mean-Y"
"10" "tBodyAccJerk-mean()-Z" "TimeDomain-BodyAccelerationJerk-Mean-Z"
"11" "tBodyGyro-mean()-X" "TimeDomain-BodyAngularVelocity-Mean-X"
"12" "tBodyGyro-mean()-Y" "TimeDomain-BodyAngularVelocity-Mean-Y"
"13" "tBodyGyro-mean()-Z" "TimeDomain-BodyAngularVelocity-Mean-Z"
"14" "tBodyGyroJerk-mean()-X" "TimeDomain-BodyAngularVelocityJerk-Mean-X"
"15" "tBodyGyroJerk-mean()-Y" "TimeDomain-BodyAngularVelocityJerk-Mean-Y"
"16" "tBodyGyroJerk-mean()-Z" "TimeDomain-BodyAngularVelocityJerk-Mean-Z"
"17" "tBodyAccMag-mean()" "TimeDomain-BodyAccelerationMag-Mean"
"18" "tGravityAccMag-mean()" "TimeDomain-GravityAccelerationMag-Mean"
"19" "tBodyAccJerkMag-mean()" "TimeDomain-BodyAccelerationJerkMag-Mean"
"20" "tBodyGyroMag-mean()" "TimeDomain-BodyAngularVelocityMag-Mean"
"21" "tBodyGyroJerkMag-mean()" "TimeDomain-BodyAngularVelocityJerkMag-Mean"
"22" "fBodyAcc-mean()-X" "FrequencyDomain-BodyAcceleration-Mean-X"
"23" "fBodyAcc-mean()-Y" "FrequencyDomain-BodyAcceleration-Mean-Y"
"24" "fBodyAcc-mean()-Z" "FrequencyDomain-BodyAcceleration-Mean-Z"
"25" "fBodyAcc-meanFreq()-X" "FrequencyDomain-BodyAcceleration-MeanFreq-X"
"26" "fBodyAcc-meanFreq()-Y" "FrequencyDomain-BodyAcceleration-MeanFreq-Y"
"27" "fBodyAcc-meanFreq()-Z" "FrequencyDomain-BodyAcceleration-MeanFreq-Z"
"28" "fBodyAccJerk-mean()-X" "FrequencyDomain-BodyAccelerationJerk-Mean-X"
"29" "fBodyAccJerk-mean()-Y" "FrequencyDomain-BodyAccelerationJerk-Mean-Y"
"30" "fBodyAccJerk-mean()-Z" "FrequencyDomain-BodyAccelerationJerk-Mean-Z"
"31" "fBodyAccJerk-meanFreq()-X" "FrequencyDomain-BodyAccelerationJerk-MeanFreq-X"
"32" "fBodyAccJerk-meanFreq()-Y" "FrequencyDomain-BodyAccelerationJerk-MeanFreq-Y"
"33" "fBodyAccJerk-meanFreq()-Z" "FrequencyDomain-BodyAccelerationJerk-MeanFreq-Z"
"34" "fBodyGyro-mean()-X" "FrequencyDomain-BodyAngularVelocity-Mean-X"
"35" "fBodyGyro-mean()-Y" "FrequencyDomain-BodyAngularVelocity-Mean-Y"
"36" "fBodyGyro-mean()-Z" "FrequencyDomain-BodyAngularVelocity-Mean-Z"
"37" "fBodyGyro-meanFreq()-X" "FrequencyDomain-BodyAngularVelocity-MeanFreq-X"
"38" "fBodyGyro-meanFreq()-Y" "FrequencyDomain-BodyAngularVelocity-MeanFreq-Y"
"39" "fBodyGyro-meanFreq()-Z" "FrequencyDomain-BodyAngularVelocity-MeanFreq-Z"
"40" "fBodyAccMag-mean()" "FrequencyDomain-BodyAccelerationMag-Mean"
"41" "fBodyAccMag-meanFreq()" "FrequencyDomain-BodyAccelerationMag-MeanFreq"
"42" "fBodyBodyAccJerkMag-mean()" "FrequencyDomain-BodyAcelerationJerkMagnitude-Mean"
"43" "fBodyBodyAccJerkMag-meanFreq()" "FrequencyDomain-BodyAcelerationJerkMagnitude-MeanFreq"
"44" "fBodyBodyGyroMag-mean()" "FrequencyDomain-BodyAngularVelocityMagnitude-Mean"
"45" "fBodyBodyGyroMag-meanFreq()" "FrequencyDomain-BodyAngularVelocityMagnitude-MeanFreq"
"46" "fBodyBodyGyroJerkMag-mean()" "FrequencyDomain-BodyAngularVelocityJerkMagnitude-Mean"
"47" "fBodyBodyGyroJerkMag-meanFreq()" "FrequencyDomain-BodyAngularVelocityJerkMagnitude-MeanFreq"
"48" "tBodyAcc-std()-X" "TimeDomain-BodyAcceleration-StandardDeviation-X"
